ime,kapaciteta,mesto,drzava,ekipa,uporaba1,uporaba2,uporaba3,kontinent
Rungrado 1st of May Stadium,114000,Pyongyang,North Korea,Korea DPR national football team,Association football,athletics,mass games,Asia
Michigan Stadium,107601,"Ann Arbor, Michigan",United States,Michigan Wolverines football,American football,,,North America
Beaver Stadium,106572,"State College, Pennsylvania",United States,Penn State Nittany Lions football,American football,,,North America
Ohio Stadium,104944,"Columbus, Ohio",United States,Ohio State Buckeyes football,American football,,,North America
Kyle Field,102733,"College Station, Texas",United States,Texas A&amp;M Aggies football,American football,,,North America
Neyland Stadium,102455,"Knoxville, Tennessee",United States,Tennessee Volunteers football,American football,,,North America
Tiger Stadium (LSU),102321,"Baton Rouge, Louisiana",United States,LSU Tigers football,American football,,,North America
Bryant–Denny Stadium,101821,"Tuscaloosa, Alabama",United States,Alabama Crimson Tide football,American football,,,North America
Darrell K Royal–Texas Memorial Stadium,100119,"Austin, Texas",United States,Texas Longhorns football,American football,,,North America
Melbourne Cricket Ground,100024,Melbourne,Australia,Victorian Bushrangers,Cricket,Australian rules football,,Australia and Oceania
Camp Nou,99354,Barcelona,Spain,FC Barcelona,Association football,,,Europe
Soccer City,94736,Johannesburg,South Africa,South African national football team,Association football,,,Africa
Los Angeles Memorial Coliseum,93607,Los Angeles,United States,USC Trojans football,American football,,,North America
Sanford Stadium,92746,"Athens, Georgia",United States,Georgia Bulldogs football,American football,,,North America
Rose Bowl (stadium),92542,"Pasadena, California",United States,UCLA Bruins football,American football,,,North America
Cotton Bowl (stadium),92100,Dallas,United States,Dallas Independent School District,American football,,,North America
Wembley Stadium,90000,London,United Kingdom,England national football team,Association football,rugby league,American Footbal,Europe
Ben Hill Griffin Stadium,88548,"Gainesville, Florida",United States,Florida Gators football,American football,,,North America
Jordan–Hare Stadium,87451,"Auburn, Alabama",United States,Auburn Tigers football,American football,,,North America
Bukit Jalil National Stadium,87411,Kuala Lumpur,Malaysia,Malaysia national football team,Association football,athletics,,Asia
Estadio Azteca,87000,Mexico City,Mexico,Club América,Association football,,,North America
"Memorial Stadium, Lincoln",86047,"Lincoln, Nebraska",United States,Nebraska Cornhuskers football,American football,,,North America
Borg El Arab Stadium,86000,Alexandria,Egypt,Egypt national football team,Association football,,,Africa
Salt Lake Stadium,85000,Kolkata,India,India national football team,Association football,athletics,,Asia
Gaylord Family Oklahoma Memorial Stadium,84389,"Norman, Oklahoma",United States,Oklahoma Sooners football,American football,,,North America
Stadium Australia,84000,Sydney,Australia,New South Wales Blues,Rugby league,rugby union,cricket,Australia and Oceania
MetLife Stadium,82500,"East Rutherford, New Jersey",United States,New York Giants,American football,association football,,North America
Croke Park,82300,Dublin,Ireland,GAA,Gaelic football,hurling,camogie,Europe
FedExField,82000,"Landover, Maryland",United States,Washington Redskins,American football,,,North America
Twickenham Stadium,82000,London,United Kingdom,England national rugby union team,Rugby union,,,Europe
Memorial Stadium (Clemson),81500,Clemson,United States,Clemson Tigers football,American football,,,North America
Lambeau Field,81441,"Green Bay, Wisconsin",United States,Green Bay Packers,American football,,,North America
Signal Iduna Park,81359,Dortmund,Germany,Borussia Dortmund,Association football,,,Europe
Stade de France,81338,Saint-Denis,France,France national football team,Association football,rugby union,rugby league,Europe
Santiago Bernabéu Stadium,81044,Madrid,Spain,Real Madrid C.F.,Association football,,,Europe
Luzhniki Stadium,81000,Moscow,Russia,none,Association football,,,Asia
Notre Dame Stadium,80795,"South Bend, Indiana",United States,Notre Dame Fighting Irish football,American football,,,North America
Shah Alam Stadium,80372,Shah Alam,Malaysia,PKNS FC,Association football,,,Asia
Camp Randall Stadium,80321,"Madison, Wisconsin",United States,Wisconsin Badgers football,American football,,,North America
Williams-Brice Stadium,80250,"Columbia, South Carolina",United States,South Carolina Gamecocks football,American football,,,North America
Estadio Monumental &quot;U&quot;,80093,Lima,Peru,Universitario de Deportes,Association football,,,South America
San Siro,80018,Milan,Italy,F.C. Internazionale Milano,Association football,,,Europe
Guangdong Olympic Stadium,80012,Guangzhou,China,,Association football,athletics,,Asia
AT&amp;T Stadium,80000,"Arlington, Texas",United States,Dallas Cowboys,American football,,,North America
Grand Stade de Casablanca,80000,Casablanca,Morocco,Raja Casablanca,Association football,,,Africa
Beijing National Stadium,80000,Beijing,China,,Athletics,association football,,Asia
Stade 5 Juillet 1962,80000,Algiers,Algeria,MC Algiers,Association football,,,Africa
Stade des Martyrs,80000,Kinshasa,Democratic Republic of the Congo,Congo DR national football team,Association football,,,Africa
Shanghai Stadium,80000,Shanghai,China,Shanghai East Asia F.C.,Association football,,,Asia
Bobby Bowden Field at Doak Campbell Stadium,79560,"Tallahassee, Florida",United States,Florida State Seminoles football,American football,,,North America
Arrowhead Stadium,79451,"Kansas City, Missouri",United States,Kansas City Chiefs,American football,,,North America
Maracanã (stadium),78838,Rio de Janeiro,Brazil,Flamengo,Association football,,,South America
Azadi Stadium,78116,Tehran,Iran,Iran national football team,Association football,,,Asia
EverBank Field,76867,"Jacksonville, Florida",United States,Jacksonville Jaguars,American football,,,North America
Gelora Bung Karno Stadium,76127,Jakarta,Indonesia,Persija Jakarta,Association football,athletics,,Asia
Sports Authority Field at Mile High,76125,Denver,United States,Denver Broncos,American football,lacrosse,,North America
Atatürk Olympic Stadium,76092,Istanbul,Turkey,İstanbul Büyükşehir Belediyesi S.K.,Association football,athletics,,Asia
Donald W. Reynolds Razorback Stadium,76000,"Fayetteville, Arkansas",United States,Arkansas Razorbacks football,American football,,,North America
Old Trafford,75639,Manchester,United Kingdom,Manchester United F.C.,Association football,rugby league,,Europe
Spartan Stadium (East Lansing),75025,"East Lansing, Michigan",United States,Michigan State Spartans football,American football,,,North America
Allianz Arena,75024,Munich,Germany,Bayern Munich,Association football,,,Europe
"Jawaharlal Nehru Stadium, Kochi",75000,Kochi,India,Indian Cricket Team,Association football,cricket,,Asia
Cairo International Stadium,75000,Cairo,Egypt,Egypt national football team,Association football,,,Africa
Naghsh-e-Jahan Stadium,75000,Isfahan,Iran,Sepahan F.C.,Association football,,,Asia
Estadio Monumental Antonio Vespucio Liberti,74624,Buenos Aires,Argentina,Argentina national football team,Association football,,,South America
Principality Stadium,74500,Cardiff,United Kingdom,Wales national rugby union team,Rugby union,association football,rugby league,Europe
Olympic Stadium (Berlin),74228,Berlin,Germany,Hertha BSC Berlin,Association football,athletics,,Europe
Ralph Wilson Stadium,73967,"Orchard Park, New York",United States,Buffalo Bills,American football,,,North America
Bank of America Stadium,73298,"Charlotte, North Carolina",United States,Carolina Panthers,American football,,,North America
Mercedes-Benz Superdome,73208,New Orleans,United States,New Orleans Saints,American football,association football,basebal,North America
FirstEnergy Stadium (Cleveland),73200,Cleveland,United States,Cleveland Browns,American football,,,North America
Stadio Olimpico,72698,Rome,Italy,A.S. Roma,Association football,athletics,,Europe
International Stadium Yokohama,72327,Yokohama,Japan,Yokohama F. Marinos,Association football,,,Asia
NRG Stadium,72000,Houston,United States,Houston Texans,American football,,,North America
Legion Field,72000,"Birmingham, Alabama",United States,UAB Blazers football,American football,,,North America
Olympic Stadium (Athens),71030,Athens,Greece,AEK Athens,Association football,athletics,,Europe
M&amp;T Bank Stadium,71008,Baltimore,United States,Baltimore Ravens,American football,,,North America
Faurot Field,71004,"Columbia, Missouri",United States,Missouri Tigers football,American football,,,North America
Mercedes-Benz Stadium,71000,Atlanta,United States,Atlanta Falcons,American football,association football,,North America
Kinnick Stadium,70585,"Iowa City, Iowa",United States,Iowa Hawkeyes football,American football,,,North America
SDCCU Stadium,70561,San Diego,United States,San Diego State Aztecs football,American football,baseball,,North America
Husky Stadium,70138,Seattle,United States,Washington Huskies football,American football,,,North America
Estádio Nacional de Brasília,70064,Brasília,Brazil,Sociedade Esportiva do Gama,Association football,,,South America
Olimpiyskiy National Sports Complex,70050,Kiev,Ukraine,FK Dynamo Kyiv,Association football,Athletics,,Europe
Seoul Olympic Stadium,69950,Seoul,South Korea,Korea Republic national football team,Athletics,association football,,Asia
Baku National Stadium,69870,Baku,Azerbaijan,Azerbaijan national football team,Association football,athletics,,Asia
Olympic Stadium (Munich),69250,Munich,Germany,,Athletics,,,Europe
Nissan Stadium,69143,"Nashville, Tennessee",United States,Tennessee Titans,American football,,,North America
Gillette Stadium,68756,"Foxborough, Massachusetts",United States,New England Patriots,American football,association football,,North America
Lincoln Financial Field,68532,Philadelphia,United States,Philadelphia Eagles,American football,,,North America
Levi's Stadium,68500,"Santa Clara, California",United States,San Francisco 49ers,American football,,,North America
Heinz Field,68400,Pittsburgh,United States,Pittsburgh Steelers,American football,,,North America
Krestovsky Stadium,68134,Saint Petersburg,Russia,FC Zenit Saint Petersburg,Association football,,,Asia
Wanda Metropolitano,67703,Madrid,Spain,Atlético Madrid,Association football,,,Europe
Stade Vélodrome,67344,Marseille,France,Olympique de Marseille,Association football,rugby union,,Europe
Murrayfield Stadium,67144,Edinburgh,United Kingdom,Scotland national rugby union team,Rugby union,,,Europe
Palaran Stadium,67075,Samarinda,Indonesia,,Athletics,association football,,Asia
Estádio do Morumbi,67052,São Paulo,Brazil,São Paulo FC,Association football,,,South America
CenturyLink Field,67000,Seattle,United States,Seattle Seahawks,American football,association football,,North America
King Fahd International Stadium,67000,Riyadh,Saudi Arabia,Al Nasr,Association football,,,Asia
The Dome at America's Center,66965,St. Louis,United States,None,,,,North America
Yadegar-e Emam Stadium,66833,Tabriz,Iran,Teraktor Sazi,Association football,,,Asia
Seoul World Cup Stadium,66806,Seoul,South Korea,Korea Republic national football team,Association football,,,Asia
U.S. Bank Stadium,66655,Minneapolis,United States,Minnesota Vikings,American football,,,North America
Daegu Stadium,66422,Daegu,South Korea,Daegu FC,Athletics,association football,,Asia
Eden Gardens,66349,Kolkata,India,Indian national cricket team,Cricket,,,Asia
Lane Stadium,66233,"Blacksburg, Virginia",United States,Virginia Tech Hokies football,American football,,,North America
London Stadium,66000,London,United Kingdom,West Ham United F.C.,Athletics,association football,cricket,Europe
Sun Devil Stadium,65870,"Tempe, Arizona",United States,Arizona State Sun Devils football,American football,,,North America
Raymond James Stadium,65847,"Tampa, Florida",United States,Tampa Bay Buccaneers,American football,,,North America
Paul Brown Stadium,65535,Cincinnati,United States,Cincinnati Bengals,American football,,,North America
Camping World Stadium,65438,"Orlando, Florida",United States,"Jones High School, Orlando",American football,association football,,North America
Hard Rock Stadium,65326,"Miami Gardens, Florida",United States,Miami Dolphins,American football,baseball,,North America
Estadio Centenario,65045,Montevideo,Uruguay,Uruguay national football team,Association football,,,South America
Basra Sports City,65000,Basra,Iraq,Iraq national football team,Association football,,,Asia
Foro Sol,65000,Mexico City,Mexico,Autódromo Hermanos Rodriguez,Baseball,,,North America
Kamuzu Stadium,65000,Blantyre,Malawi,Malawi national football team,Association football,,,Africa
Alamodome,65000,San Antonio,United States,UTSA Roadrunners football,American football,baseball,,North America
Ford Field,65000,Detroit,United States,Detroit Lions,American football,,,North America
Stade Olympique de Radès,65000,Radès,Tunisia,Tunisia national football team,Association football,,,Africa
Jaber Al-Ahmad International Stadium,65000,Kuwait City,Kuwait,Kuwait national football team,Association football,,,Asia
June 11 Stadium,65000,Tripoli,Libya,Libya national football team,Association football,,,Africa
Estádio da Luz,64642,Lisbon,Portugal,Benfica,Association football,,,Europe
Vaught–Hemingway Stadium,64038,"Oxford, Mississippi",United States,Ole Miss Rebels football,American football,,,North America
Workers Stadium,64000,Beijing,China,Beijing Guoan,Association football,,,Asia
Castelão (Ceará),63903,Fortaleza,Brazil,Ceará,Association football,,,South America
LaVell Edwards Stadium,63725,"Provo, Utah",United States,Brigham Young University Cougars football,American football,,,North America
Saitama Stadium 2002,63700,Saitama,Japan,Urawa Red Diamonds,Association football,,,Asia
University of Phoenix Stadium,63400,"Glendale, Arizona",United States,Arizona Cardinals,American football,,,North America
California Memorial Stadium,63186,"Berkeley, California",United States,California Golden Bears football,American football,,,North America
Estadio Olímpico Universitario,63186,Mexico City,Mexico,Club Universidad Nacional,Association football,American football,,North America
Oakland–Alameda County Coliseum,63026,"Oakland, California",United States,Oakland Raiders,American football,baseball,,North America
Lucas Oil Stadium,63000,Indianapolis,United States,Indianapolis Colts,American football,basketball,,North America
Kenan Memorial Stadium,62980,"Chapel Hill, North Carolina",United States,North Carolina Tar Heels football,American football,,,North America
Memorial Stadium (Champaign),62872,"Champaign, Illinois",United States,Illinois Fighting Illini football,American football,,,North America
Ellis Park Stadium,62567,Johannesburg,South Africa,Golden Lions,Rugby union,association football,,Africa
Ross–Ade Stadium,62500,"West Lafayette, Indiana",United States,Purdue Boilermakers football,American football,,,North America
Veltins-Arena,62271,Gelsenkirchen,Germany,FC Schalke 04,Association football,,,Europe
Mineirão Stadium,62170,Belo Horizonte,Brazil,Clube Atlético Mineiro,Association football,,,South America
Yizhong Sports Center,62000,Qingdao,China,Qingdao Jonoon,Association football,,,Asia
Jack Trice Stadium,61500,"Ames, Iowa",United States,Iowa State Cyclones football,American football,,,North America
Scott Stadium,61500,"Charlottesville, Virginia",United States,Virginia Cavaliers football,American football,,,North America
Soldier Field,61500,Chicago,United States,Chicago Bears,American football,,,North America
Yale Bowl,61446,"New Haven, Connecticut",United States,Yale Bulldogs football,American football,,,North America
Davis Wade Stadium,61337,"Starkville, Mississippi",United States,Mississippi State Bulldogs football,American football,,,North America
Eden Park,61136,Auckland,New Zealand,New Zealand All Blacks,Rugby union,,,Australia and Oceania
Kroger Field,61000,"Lexington, Kentucky",United States,Kentucky Wildcats football,American football,,,North America
Mercedes-Benz Arena (Stuttgart),60649,Stuttgart,Germany,VfB Stuttgart,Association football,,,Europe
Grêmio Arena,60540,Porto Alegre,Brazil,Grêmio,Association football,,,South America
Mississippi Veterans Memorial Stadium,60492,"Jackson, Mississippi",United States,Jackson State Tigers,American football,,,North America
Jones AT&amp;T Stadium,60454,"Lubbock, Texas",United States,Texas Tech Red Raiders football,American football,,,North America
Celtic Park,60411,Glasgow,United Kingdom,Celtic F.C.,Association football,,,Europe
Emirates Stadium,60338,London,United Kingdom,Arsenal F.C.,Association football,,,Europe
Stadio San Paolo,60240,Naples,Italy,Napoli,Association football,,,Europe
Boone Pickens Stadium,60218,"Stillwater, Oklahoma",United States,Oklahoma State Cowboys football,American football,,,North America
Estádio do Arruda,60044,Recife,Brazil,Santa Cruz Futebol Clube,Association football,,,South America
Gelora Bung Tomo Stadium,60000,Surabaya,Indonesia,Persebaya Surabaya,Association football,,,Asia
"Jawaharlal Nehru Stadium, Delhi",60000,Delhi,India,India national football team,Association football,athletics,,Asia
King Abdullah Sports City,60000,Jeddah,Saudi Arabia,Saudi national football team,Association football,,,Asia
Estadio Libertadores de América,60000,Avellaneda,Argentina,Club Atlético Independiente,Association football,,,South America
"Jawaharlal Nehru Stadium, Chennai",60000,Chennai,India,India national football team,Association football,,,Asia
Dr. Bhupen Hazarika Cricket Stadium,60000,Guwahati,India,Assam Cricket Association,Cricket,,,Asia
Estadio Monumental Virgen de Chapi,60000,Arequipa,Peru,FBC Melgar,Association football,,,South America
Mountaineer Field at Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,West Virginia Mountaineers football,American football,,,North America
National Heroes Stadium,60000,Lusaka,Zambia,Zambia national football team,Association football,,,Africa
Abuja Stadium,60000,Abuja,Nigeria,Nigeria national football team,Association football,,,Africa
Gaddafi Stadium,60000,Lahore,Pakistan,Pakistan national cricket team,Cricket,,,Asia
